CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_1,Cum_Hosp_2
Erath,2365,9966,31864,111.32818789075303,93.08087544812679,135.14075305284598,18.428077203005724,14.745265545235226,22.87976529441472,87.91134550437216,73.32405289746751,107.41089827104473,5.057643141462856,4.186462637003423,6.2002159431969694,14.113641053132266,11.607680993605356,17.531434990221893,4.4248709877967,8.984446935168403,0.6741309252491211
Falls,974,3066,13246,11.386270535774864,9.827924432867377,13.293438283199198,3.8203765897440856,3.100930481871078,4.556516061471641,6.745232661154462,5.920224053777604,7.82152907213467,0.8728485211726511,0.7533229095658782,1.0237467241466576,2.018548698722067,1.6969402942289713,2.3860446169122924,0.999314670764113,0.8868760425797032,0.13201656549282015
Fannin,1911,6890,28770,16.57193700619802,14.029401500728516,19.512717429342274,4.893902270331278,4.029679053890889,5.908619945337527,10.300414402552008,8.766764447758536,12.010013246878676,1.3459182499122702,1.1367001586803136,1.6018662737727116,2.732693587306711,2.313585388179864,3.242541475110503,1.2502334791947392,1.2698331004330061,0.1995438784885913
Fayette,1295,4397,19782,11.900519531926722,10.217185875575641,14.050923069222401,3.53637205035072,2.9007992947642935,4.42447810768097,7.461257333377141,6.549783807305858,8.697191837528932,0.8549970889472931,0.7354091129427583,1.018942002996808,2.033288570248015,1.7217797566656636,2.436399854196139,0.9269515785673021,0.9692751715438601,0.12827672507733534
Fisher,157,702,2753,25.86098893382722,22.090297842443178,30.060556475525726,4.830690369518898,3.862909447032286,5.726076207323463,19.53556607596816,16.78802240890961,22.541374509687618,1.4979926102837084,1.2561349444558119,1.7351263560278096,3.7341443555480796,3.079893485865097,4.423850293397529,1.2235211230708987,2.292716133354182,0.21693270110354002
Floyd,297,1148,3645,12.227970357924079,10.62617795023637,14.176138703269082,3.375977190458019,2.851491167068566,4.05188354833641,8.177486837454328,7.059002216070197,9.356263729619846,0.6856143889113699,0.5876365916844117,0.7947100298000774,2.032313109370624,1.7437887689487015,2.4010602423786715,0.8857986539709677,1.0463648411549413,0.10326205404401378
Foard,49,201,829,11.937004423318822,10.34801075262207,13.514985825313534,3.061069302826006,2.561057945303465,3.602821143400852,7.799366820734653,6.868621371754741,8.873383087761816,1.0829146979244488,0.9279714203960124,1.2440015707431737,1.9880243516317921,1.7125211039606065,2.321346397754559,0.8122883294946519,1.0140486413542806,0.1639322417643333
Fort Bend,53674,211437,651667,10.197509163245904,8.822819319785193,11.787222875684627,2.9398563400193374,2.383633692440927,3.4545347385657106,6.716302164943357,5.841405481867151,7.7495306707985,0.5595421046304405,0.4831334476743416,0.649928730744077,1.7370942511077876,1.4793558466405028,2.0209285777595687,0.7702662098890809,0.8848098321788191,0.08424193236247474
Franklin,592,1984,8159,14.626860272577801,12.582213343230995,17.082644602947127,4.3712620867008365,3.6672218715817126,5.199279820723397,9.25419211318054,7.9985297647573885,10.73969325067282,1.0488297413142456,0.8905322401686552,1.2286259732184917,2.452124042589672,2.087366082847827,2.913903348994721,1.1259284560281357,1.159804604995318,0.1570106834108091
Freestone,1136,3903,15402,13.161420563741398,11.220579168613087,15.026431105556043,4.33227813944737,3.6237801930981055,5.182169076553999,7.715309984907831,6.639495111519518,8.810857925308024,1.0545908303348708,0.9048225267062293,1.2162337575097528,2.302866982790561,1.9474743268104047,2.654644869923765,1.1407131519229687,0.99249639991739,0.15865823985155217
Frio,1150,4005,12832,13.604511882600372,11.726880538832638,15.50815819897646,3.5041230675515607,2.869520260621923,4.191940467376757,9.509978912127806,8.199088190497562,10.794964245607863,0.571390112898873,0.4901172046267447,0.6455421651083701,2.190404450695305,1.8547642371890538,2.529503533450912,0.9108148370965957,1.1959073224821817,0.0849376821716607
