,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
635,Stephens,20,7153,6804,5731,6970,6971,349,1422,183,182,0,0,0,0,0
636,Stephens,5_19,1715,1255,1058,1284,1285,460,657,431,430,0,0,0,0,0
637,Sterling,0_4,136,129,108,133,133,7,28,3,3,0,0,0,0,0
638,Sterling,20,939,888,747,915,915,51,192,24,24,0,0,0,0,0
639,Sterling,5_19,322,241,202,249,249,81,120,73,73,0,0,0,0,0
640,Sutton,0_4,179,175,148,174,175,4,31,5,4,0,0,0,0,0
641,Sutton,20,2369,2314,1959,2308,2309,55,410,61,60,0,0,0,0,0
642,Sutton,5_19,673,534,452,532,532,139,221,141,141,0,0,0,0,0
643,Swisher,0_4,398,390,331,388,388,8,67,10,10,0,0,0,0,0
644,Swisher,20,5101,5002,4237,4970,4971,99,864,131,130,0,0,0,0,0
645,Swisher,5_19,1456,1131,959,1124,1124,325,497,332,332,0,0,0,0,0
646,Tarrant,0_4,138082,133543,112830,134540,134690,4539,25252,3542,3392,0,69,58,71,72
647,Tarrant,20,1575654,1523854,1287506,1535240,1535581,51800,288148,40414,40073,0,0,0,0,0
648,Tarrant,5_19,469211,364067,307645,366761,367021,105144,161566,102450,102190,0,0,0,0,0
649,Taylor,0_4,9827,9629,8155,9575,9586,198,1672,252,241,0,5,4,5,5
650,Taylor,20,105265,103143,87353,102565,102596,2122,17912,2700,2669,0,0,0,0,0
651,Taylor,5_19,31744,23620,20004,23488,23509,8124,11740,8256,8235,0,0,0,0,0
652,Terrell,0_4,26,26,22,25,25,0,4,1,1,0,0,0,0,0
653,Terrell,20,540,540,459,526,526,0,81,14,14,0,0,0,0,0
654,Terrell,5_19,121,97,82,95,95,24,39,26,26,0,0,0,0,0
655,Terry,0_4,892,871,737,869,870,21,155,23,22,0,1,0,1,1
656,Terry,20,7921,7730,6542,7718,7720,191,1379,203,201,0,0,0,0,0
657,Terry,5_19,2734,2170,1837,2167,2169,564,897,567,565,0,0,0,0,0
658,Throckmorton,0_4,102,95,80,99,99,7,22,3,3,0,0,0,0,0
659,Throckmorton,20,1125,1046,878,1096,1096,79,247,29,29,0,0,0,0,0
660,Throckmorton,5_19,299,227,191,235,235,72,108,64,64,0,0,0,0,0
661,Titus,0_4,2236,2204,1869,2179,2181,32,367,57,55,0,1,1,1,1
662,Titus,20,21700,21392,18137,21143,21148,308,3563,557,552,0,0,0,0,0
663,Titus,5_19,7421,5933,5030,5865,5869,1488,2391,1556,1552,0,0,0,0,0
664,Tom Green,0_4,7381,7263,6156,7192,7200,118,1225,189,181,0,4,3,4,4
665,Tom Green,20,87245,85856,72769,85007,85028,1389,14476,2238,2217,0,0,0,0,0
666,Tom Green,5_19,24431,18847,15974,18665,18679,5584,8457,5766,5752,0,0,0,0,0
667,Travis,0_4,73426,70699,59685,71543,71622,2727,13741,1883,1804,0,38,31,40,40
668,Travis,20,1038063,999508,843798,1011437,1011663,38555,194265,26626,26400,0,0,0,0,0
669,Travis,5_19,223472,168091,141914,170106,170240,55381,81558,53366,53232,0,0,0,0,0
670,Trinity,0_4,702,682,577,684,685,20,125,18,17,0,0,0,0,0
671,Trinity,20,11123,10806,9137,10838,10840,317,1986,285,283,0,0,0,0,0
672,Trinity,5_19,2403,1887,1596,1892,1893,516,807,511,510,0,0,0,0,0
673,Tyler,0_4,974,938,792,949,950,36,182,25,24,0,1,0,1,1
674,Tyler,20,16033,15441,13036,15622,15625,592,2997,411,408,0,0,0,0,0
675,Tyler,5_19,3375,2623,2216,2651,2652,752,1159,724,723,0,0,0,0,0
676,Upshur,0_4,2534,2441,2061,2469,2472,93,473,65,62,0,1,1,1,1
677,Upshur,20,32032,30861,26056,31210,31216,1171,5976,822,816,0,0,0,0,0
678,Upshur,5_19,8715,6852,5786,6930,6934,1863,2929,1785,1781,0,0,0,0,0
679,Upton,0_4,162,159,135,158,158,3,27,4,4,0,0,0,0,0
680,Upton,20,2195,2158,1829,2139,2139,37,366,56,56,0,0,0,0,0
681,Upton,5_19,752,584,495,579,580,168,257,173,172,0,0,0,0,0
682,Uvalde,0_4,1921,1890,1602,1872,1874,31,319,49,47,0,1,1,1,1
683,Uvalde,20,17494,17215,14590,17045,17050,279,2904,449,444,0,0,0,0,0
684,Uvalde,5_19,5545,4278,3626,4237,4240,1267,1919,1308,1305,0,0,0,0,0
685,Val Verde,0_4,3803,3767,3196,3705,3710,36,607,98,93,0,2,2,2,2
686,Val Verde,20,32895,32582,27648,32051,32060,313,5247,844,835,0,0,0,0,0
687,Val Verde,5_19,11022,8779,7450,8634,8643,2243,3572,2388,2379,0,0,0,0,0
688,Van Zandt,0_4,3558,3410,2876,3467,3471,148,682,91,87,0,2,1,2,2
689,Van Zandt,20,47936,45937,38747,46706,46715,1999,9189,1230,1221,0,0,0,0,0
690,Van Zandt,5_19,12506,9767,8240,9929,9936,2739,4266,2577,2570,0,0,0,0,0
691,Victoria,0_4,6076,5993,5081,5920,5927,83,995,156,149,0,3,3,3,3
692,Victoria,20,66355,65445,55492,64653,64668,910,10863,1702,1687,0,0,0,0,0
693,Victoria,5_19,19233,15346,13012,15167,15179,3887,6221,4066,4054,0,0,0,0,0
694,Walker,0_4,3266,3154,2665,3182,3186,112,601,84,80,0,2,1,2,2
695,Walker,20,65507,63269,53443,63827,63846,2238,12064,1680,1661,0,0,0,0,0
696,Walker,5_19,12495,7720,6522,7787,7792,4775,5973,4708,4703,0,0,0,0,0
697,Waller,0_4,3924,3856,3267,3823,3828,68,657,101,96,0,2,2,2,2
698,Waller,20,43518,42760,36233,42402,42417,758,7285,1116,1101,0,0,0,0,0
699,Waller,5_19,16111,10124,8579,10040,10048,5987,7532,6071,6063,0,0,0,0,0
700,Ward,0_4,850,832,705,828,829,18,145,22,21,0,0,0,0,0
701,Ward,20,7525,7366,6237,7332,7334,159,1288,193,191,0,0,0,0,0
702,Ward,5_19,2591,2075,1757,2065,2067,516,834,526,524,0,0,0,0,0
703,Washington,0_4,1913,1872,1585,1864,1866,41,328,49,47,0,1,1,1,1
704,Washington,20,27263,26683,22594,26564,26570,580,4669,699,693,0,0,0,0,0
705,Washington,5_19,7831,5297,4486,5275,5279,2534,3345,2556,2552,0,0,0,0,0
706,Webb,0_4,21405,21330,18119,20856,20879,75,3286,549,526,0,12,10,11,11
707,Webb,20,176835,176216,149691,172299,172346,619,27144,4536,4489,0,0,0,0,0
708,Webb,5_19,70908,56806,48255,55556,55602,14102,22653,15352,15306,0,0,0,0,0
709,Wharton,0_4,2851,2823,2396,2778,2781,28,455,73,70,0,2,1,1,1
710,Wharton,20,30008,29715,25214,29238,29245,293,4794,770,763,0,0,0,0,0
711,Wharton,5_19,8880,7034,5969,6922,6928,1846,2911,1958,1952,0,0,0,0,0
712,Wheeler,0_4,273,264,223,266,266,9,50,7,7,0,0,0,0,0
713,Wheeler,20,3483,3373,2851,3394,3394,110,632,89,89,0,0,0,0,0
714,Wheeler,5_19,1048,830,701,837,837,218,347,211,211,0,0,0,0,0
715,Wichita,0_4,8106,7967,6752,7898,7907,139,1354,208,199,0,5,4,4,4
716,Wichita,20,95096,93471,79206,92657,92681,1625,15890,2439,2415,0,0,0,0,0
717,Wichita,5_19,26978,19720,16711,19551,19567,7258,10267,7427,7411,0,0,0,0,0
718,Wilbarger,0_4,754,748,635,735,735,6,119,19,19,0,0,0,0,0
719,Wilbarger,20,9549,9469,8037,9304,9306,80,1512,245,243,0,0,0,0,0
720,Wilbarger,5_19,2219,1677,1423,1648,1649,542,796,571,570,0,0,0,0,0
721,Willacy,0_4,1151,1148,975,1121,1123,3,176,30,28,0,1,1,1,1
722,Willacy,20,14674,14634,12433,14298,14302,40,2241,376,372,0,0,0,0,0
723,Willacy,5_19,4212,3237,2751,3166,3168,975,1461,1046,1044,0,0,0,0,0
724,Williamson,0_4,41800,40014,33744,40728,40773,1786,8056,1072,1027,0,22,19,22,22
725,Williamson,20,516559,494493,417009,503310,503405,22066,99550,13249,13154,0,0,0,0,0
726,Williamson,5_19,138832,109026,91943,110997,111086,29806,46889,27835,27746,0,0,0,0,0
727,Wilson,0_4,2966,2911,2466,2890,2893,55,500,76,73,0,2,1,2,2
728,Wilson,20,40217,39465,33432,39185,39192,752,6785,1032,1025,0,0,0,0,0
729,Wilson,5_19,11000,8835,7485,8777,8783,2165,3515,2223,2217,0,0,0,0,0
730,Winkler,0_4,585,580,492,570,571,5,93,15,14,0,0,0,0,0
731,Winkler,20,5068,5021,4261,4938,4939,47,807,130,129,0,0,0,0,0
732,Winkler,5_19,1761,1404,1192,1381,1382,357,569,380,379,0,0,0,0,0
733,Wise,0_4,4752,4524,3811,4630,4635,228,941,122,117,0,2,2,2,2
734,Wise,20,57108,54369,45803,55643,55654,2739,11305,1465,1454,0,0,0,0,0
735,Wise,5_19,16237,12669,10676,12953,12963,3568,5561,3284,3274,0,0,0,0,0
736,Wood,0_4,2099,2034,1720,2045,2047,65,379,54,52,0,1,1,1,1
737,Wood,20,37895,36728,31044,36923,36930,1167,6851,972,965,0,0,0,0,0
738,Wood,5_19,7927,6059,5122,6090,6093,1868,2805,1837,1834,0,0,0,0,0
739,Yoakum,0_4,665,648,548,648,649,17,117,17,16,0,0,0,0,0
740,Yoakum,20,4766,4644,3930,4644,4645,122,836,122,121,0,0,0,0,0
741,Yoakum,5_19,2037,1594,1349,1593,1594,443,688,444,443,0,0,0,0,0
742,Young,0_4,1067,1042,882,1040,1041,25,185,27,26,0,1,0,1,1
743,Young,20,13376,13066,11059,13033,13036,310,2317,343,340,0,0,0,0,0
744,Young,5_19,3681,2925,2476,2920,2922,756,1205,761,759,0,0,0,0,0
745,Zapata,0_4,971,969,823,946,947,2,148,25,24,0,1,0,1,1
746,Zapata,20,8958,8935,7592,8728,8730,23,1366,230,228,0,0,0,0,0
747,Zapata,5_19,3807,3077,2614,3008,3010,730,1193,799,797,0,0,0,0,0
748,Zavala,0_4,734,733,623,715,716,1,111,19,18,0,0,0,0,0
749,Zavala,20,6263,6257,5317,6102,6104,6,946,161,159,0,0,0,0,0
750,Zavala,5_19,2315,1851,1573,1807,1808,464,742,508,507,0,0,0,0,0
