,CTYNAME,age_grp,N0,V0_1,V0_2,V0_3,V0_4,S0_1,S0_2,S0_3,S0_4,R0,theta_1,theta_2,theta_3,theta_4
116,Clay,20,8322,8118,6870,8109,8110,204,1452,213,212,0,0,0,0,0
117,Clay,5_19,1875,1491,1262,1488,1489,384,613,387,386,0,0,0,0,0
118,Cochran,0_4,212,204,173,207,207,8,39,5,5,0,0,0,0,0
119,Cochran,20,1763,1700,1436,1718,1718,63,327,45,45,0,0,0,0,0
120,Cochran,5_19,534,418,353,422,422,116,181,112,112,0,0,0,0,0
121,Coke,0_4,177,167,141,172,173,10,36,5,4,0,0,0,0,0
122,Coke,20,2579,2438,2051,2513,2513,141,528,66,66,0,0,0,0,0
123,Coke,5_19,596,485,408,501,501,111,188,95,95,0,0,0,0,0
124,Coleman,0_4,427,413,349,416,417,14,78,11,10,0,0,0,0,0
125,Coleman,20,6038,5847,4941,5883,5884,191,1097,155,154,0,0,0,0,0
126,Coleman,5_19,1377,1090,922,1096,1097,287,455,281,280,0,0,0,0,0
127,Collin,0_4,68206,65244,55013,66457,66530,2962,13193,1749,1676,0,35,29,35,35
128,Collin,20,870997,833167,702517,848657,848812,37830,168480,22340,22185,0,0,0,0,0
129,Collin,5_19,256156,196222,165471,199910,200049,59934,90685,56246,56107,0,0,0,0,0
130,Collingsworth,0_4,167,160,135,163,163,7,32,4,4,0,0,0,0,0
131,Collingsworth,20,1835,1757,1481,1788,1788,78,354,47,47,0,0,0,0,0
132,Collingsworth,5_19,561,439,371,446,446,122,190,115,115,0,0,0,0,0
133,Colorado,0_4,1380,1361,1154,1345,1346,19,226,35,34,0,1,1,1,1
134,Colorado,20,15666,15447,13098,15264,15267,219,2568,402,399,0,0,0,0,0
135,Colorado,5_19,4071,3344,2836,3305,3307,727,1235,766,764,0,0,0,0,0
136,Comal,0_4,10135,9706,8186,9875,9886,429,1949,260,249,0,5,4,5,5
137,Comal,20,146926,140710,118671,143157,143182,6216,28255,3769,3744,0,0,0,0,0
138,Comal,5_19,36867,28884,24363,29382,29404,7983,12504,7485,7463,0,0,0,0,0
139,Comanche,0_4,850,835,707,828,829,15,143,22,21,0,0,0,0,0
140,Comanche,20,10568,10380,8795,10297,10299,188,1773,271,269,0,0,0,0,0
141,Comanche,5_19,2632,2078,1761,2064,2065,554,871,568,567,0,0,0,0,0
142,Concho,0_4,118,117,99,115,115,1,19,3,3,0,0,0,0,0
143,Concho,20,2812,2791,2369,2740,2740,21,443,72,72,0,0,0,0,0
144,Concho,5_19,367,251,214,247,247,116,153,120,120,0,0,0,0,0
145,Cooke,0_4,2679,2595,2193,2610,2613,84,486,69,66,0,1,1,1,1
146,Cooke,20,32482,31459,26587,31649,31655,1023,5895,833,827,0,0,0,0,0
147,Cooke,5_19,8621,6746,5701,6787,6793,1875,2920,1834,1828,0,0,0,0,0
148,Coryell,0_4,5354,5201,4398,5217,5222,153,956,137,132,0,3,2,3,3
149,Coryell,20,63817,61994,52421,62180,62199,1823,11396,1637,1618,0,0,0,0,0
150,Coryell,5_19,15707,12453,10530,12486,12499,3254,5177,3221,3208,0,0,0,0,0
151,Cottle,0_4,52,51,43,51,51,1,9,1,1,0,0,0,0,0
152,Cottle,20,1016,995,843,990,990,21,173,26,26,0,0,0,0,0
153,Cottle,5_19,226,164,139,163,163,62,87,63,63,0,0,0,0,0
154,Crockett,0_4,200,199,169,195,195,1,31,5,5,0,0,0,0,0
155,Crockett,20,2048,2036,1729,1995,1996,12,319,53,52,0,0,0,0,0
156,Crockett,5_19,610,494,419,485,485,116,191,125,125,0,0,0,0,0
157,Crosby,0_4,300,295,250,292,293,5,50,8,7,0,0,0,0,0
158,Crosby,20,3502,3446,2921,3412,3413,56,581,90,89,0,0,0,0,0
159,Crosby,5_19,1115,862,731,854,855,253,384,261,260,0,0,0,0,0
160,Culberson,0_4,144,143,121,140,140,1,23,4,4,0,0,0,0,0
161,Culberson,20,1628,1613,1368,1586,1587,15,260,42,41,0,0,0,0,0
162,Culberson,5_19,424,312,265,306,307,112,159,118,117,0,0,0,0,0
163,Dallam,0_4,819,797,674,798,799,22,145,21,20,0,0,0,0,0
164,Dallam,20,4550,4426,3744,4433,4434,124,806,117,116,0,0,0,0,0
165,Dallam,5_19,1868,1512,1279,1514,1516,356,589,354,352,0,0,0,0,0
166,Dallas,0_4,175055,171602,145344,170565,170755,3453,29711,4490,4300,0,92,77,92,92
167,Dallas,20,1892367,1855040,1571185,1843829,1844273,37327,321182,48538,48094,0,0,0,0,0
168,Dallas,5_19,538936,424676,359710,422154,422481,114260,179226,116782,116455,0,0,0,0,0
169,Dawson,0_4,876,835,704,854,854,41,172,22,22,0,0,0,0,0
170,Dawson,20,8719,8313,7005,8495,8498,406,1714,224,221,0,0,0,0,0
171,Dawson,5_19,2409,1865,1572,1903,1904,544,837,506,505,0,0,0,0,0
172,DeWitt,0_4,1117,1101,934,1088,1090,16,183,29,27,0,1,0,1,1
173,DeWitt,20,14933,14720,12480,14550,14553,213,2453,383,380,0,0,0,0,0
174,DeWitt,5_19,3879,3146,2667,3111,3113,733,1212,768,766,0,0,0,0,0
175,Deaf Smith,0_4,1635,1630,1385,1593,1595,5,250,42,40,0,1,1,1,1
176,Deaf Smith,20,12047,12009,10202,11738,11741,38,1845,309,306,0,0,0,0,0
177,Deaf Smith,5_19,4665,3766,3199,3682,3685,899,1466,983,980,0,0,0,0,0
178,Delta,0_4,365,358,303,356,356,7,62,9,9,0,0,0,0,0
179,Delta,20,4077,4000,3388,3972,3973,77,689,105,104,0,0,0,0,0
180,Delta,5_19,1078,891,755,884,885,187,323,194,193,0,0,0,0,0
181,Denton,0_4,57654,54465,45817,56175,56238,3189,11837,1479,1416,0,29,25,30,30
182,Denton,20,750373,708865,596309,731126,731271,41508,154064,19247,19102,0,0,0,0,0
183,Denton,5_19,199676,151075,127092,155889,156001,48601,72584,43787,43675,0,0,0,0,0
184,Dickens,0_4,88,86,73,86,86,2,15,2,2,0,0,0,0,0
185,Dickens,20,1353,1327,1124,1318,1319,26,229,35,34,0,0,0,0,0
186,Dickens,5_19,270,198,168,198,198,72,102,72,72,0,0,0,0,0
187,Dimmit,0_4,624,623,529,608,609,1,95,16,15,0,0,0,0,0
188,Dimmit,20,5620,5609,4766,5476,5477,11,854,144,143,0,0,0,0,0
189,Dimmit,5_19,2013,1583,1346,1547,1548,430,667,466,465,0,0,0,0,0
